pdbid,LigandRmsdMean,LigandRmsdSd,ProteinRmsdMean,ProteinRmsdSd,di1_1-4 EEL_mean,di1_1-4 EEL_sd,di1_1-4 VDW_mean,di1_1-4 VDW_sd,di1_DELTA G gas_mean,di1_DELTA G gas_sd,di1_DELTA G solv_mean,di1_DELTA G solv_sd,di1_DELTA TOTAL_mean,di1_DELTA TOTAL_sd,di1_EDISPER_mean,di1_EDISPER_sd,di1_EEL_mean,di1_EEL_sd,di1_ENPOLAR_mean,di1_ENPOLAR_sd,di1_EPB_mean,di1_EPB_sd,di4_1-4 EEL_mean,di4_1-4 EEL_sd,di4_1-4 VDW_mean,di4_1-4 VDW_sd,di4_DELTA G gas_mean,di4_DELTA G gas_sd,di4_DELTA G solv_mean,di4_DELTA G solv_sd,di4_DELTA TOTAL_mean,di4_DELTA TOTAL_sd,di4_EDISPER_mean,di4_EDISPER_sd,di4_EEL_mean,di4_EEL_sd,di4_ENPOLAR_mean,di4_ENPOLAR_sd,di4_EPB_mean,di4_EPB_sd,index,owner,VDW
1ldm,0.330424163,0.008993475,3.045120246,0.021435733,0,2E-05,0,8E-05,-43.30494,6.36536,41.0248,5.47506,-2.2801,4.2306,0,0,-36.81776,7.08794,-1.38248,0.0525,42.4073,5.48108,0,2E-05,0,8E-05,-15.69162,2.37552,8.49596,1.2447,-7.19568,2.2511,0,0,-9.20444,1.77198,-1.38248,0.0525,9.87842,1.25142,3814,DIVYAK,-6.4872
6qhv,0.5016216,0.011583368,1.398098553,0.007521863,0,6E-05,0,4E-05,-38.97272,4.9307,32.3692,4.0179,-6.60354,4.7505,0,0,-33.3936,5.9476,-1.20564,0.0449,33.57484,4.02754,0,6E-05,0,4E-05,-13.92752,2.0772,6.69744,0.93354,-7.23014,2.18754,0,0,-8.34842,1.48688,-1.20564,0.0449,7.90308,0.94146,2805,PRADEEP,-5.57914
3gac,1.066840521,0.027070948,1.824902545,0.015149773,0,2E-05,0,8E-05,-19.9608,8.50358,18.10272,7.71326,-1.8581,2.55814,0,0,-12.62806,7.8334,-1.38944,0.3946,19.4922,7.99334,0,2E-05,0,8E-05,-10.48974,4.06886,3.25388,1.61272,-7.23586,3.3491,0,0,-3.15698,1.95834,-1.38944,0.3946,4.64336,1.87742,3878,SARVESH,-7.33276
1icr,0.730229206,0.024413445,3.443175385,0.035016126,0,6E-05,0,4E-05,-19.09844,5.90768,15.36914,5.1304,-3.7293,2.24074,0,0,-12.17114,6.06256,-1.3956,0.20674,16.76474,5.21516,0,6E-05,0,4E-05,-9.9701,2.83614,2.59626,1.147,-7.37386,2.63624,0,0,-3.04278,1.51564,-1.3956,0.20674,3.99184,1.22024,4891,SHRUTI,-6.92732
5kd9,1.234596556,0.0269144,1.923271042,0.009685668,0,4E-05,0,0.0001,-12.58196,6.286,9.10794,4.59718,-3.47404,3.04046,0,0,-5.11624,4.21918,-1.06126,0.42042,10.16918,4.88948,0,4E-05,0,0.0001,-8.74478,4.37524,1.34024,0.89634,-7.4046,4.07744,0,0,-1.27906,1.05476,-1.06126,0.42042,2.40146,1.15746,7092,PRADEEP,-7.46572
4hdk,0.082283675,0.001226196,2.520541598,0.016320508,0,6E-05,0,0,-28.2269,6.4215,24.94436,5.70194,-3.28256,2.90308,0,0,-21.54454,6.87118,-1.57868,0.17718,26.52304,5.795,0,6E-05,0,0,-12.06852,2.61134,4.65988,1.25824,-7.40866,2.17318,0,0,-5.38614,1.71782,-1.57868,0.17718,6.23854,1.34496,6705,PRADEEP,-6.68236
5w8e,0.103158441,0.001184771,1.337107247,0.004215058,0,0,0,4E-05,-18.70312,6.51978,15.55806,5.71508,-3.14502,2.28158,0,0,-11.23742,5.6134,-1.15596,0.26306,16.71404,5.91232,0,0,0,4E-05,-10.275,3.28966,2.85948,1.21376,-7.4155,2.59138,0,0,-2.80934,1.40334,-1.15596,0.26306,4.01546,1.40526,1888,SARVESH,-7.46562
1ryi,0.484823914,0.01324871,1.569100658,0.00511163,0,2E-05,0,6E-05,-36.6528,5.61444,34.25136,5.11086,-2.4014,3.2598,0,0,-29.5167,6.70326,-1.25234,0.048,35.50374,5.11318,0,2E-05,0,6E-05,-14.51528,2.10042,7.01198,1.1801,-7.50326,1.97554,0,0,-7.3792,1.67582,-1.25234,0.048,8.26434,1.18164,7866,SARVESH,-7.13606
1kgt,1.207537847,0.011712467,2.038051519,0.00881556,0,4E-05,0,6E-05,-27.09328,8.773,22.15988,6.99684,-4.93342,3.23624,0,0,-20.55208,8.5637,-1.4826,0.24142,23.64246,7.15226,0,4E-05,0,6E-05,-11.67922,3.47756,4.12166,1.53756,-7.55756,2.77834,0,0,-5.138,2.1409,-1.4826,0.24142,5.60428,1.6861,5040,PRADEEP,-6.5412
4g5y,1.076928921,0.011903729,2.399713009,0.009587201,0,4E-05,0,4E-05,-14.88278,7.6296,10.92188,5.56132,-3.96092,2.96426,0,0,-7.405,5.09062,-1.14096,0.46108,12.06284,5.93664,0,4E-05,0,4E-05,-9.32908,4.7565,1.73488,1.04914,-7.59418,4.1534,0,0,-1.85126,1.27266,-1.14096,0.46108,2.87582,1.39888,10598,SHUBHAM,-7.47778
4con,1.108881148,0.00692893,2.594557443,0.013361665,0,8E-05,0,6E-05,-89.76672,20.77482,85.8762,18.248,-3.8905,4.96266,0,0,-84.50704,21.70914,-2.01654,0.17058,87.89282,18.33652,0,8E-05,0,6E-05,-26.38646,5.22948,18.7537,4.17264,-7.63276,2.47402,0,0,-21.12678,5.4273,-2.01654,0.17058,20.77024,4.25892,2690,DIVYAK,-5.25968
6qht,0.354162012,0.011786365,1.415116739,0.005990692,0,2E-05,0,4E-05,-32.38922,4.34464,29.2476,3.6619,-3.1416,3.4953,0,0,-24.84152,5.63196,-1.20114,0.0368,30.44876,3.6624,0,2E-05,0,4E-05,-13.75808,2.06706,6.07016,0.79626,-7.6879,2.09868,0,0,-6.2104,1.40798,-1.20114,0.0368,7.2713,0.7973,5551,ROHIT,-7.54768
5y8m,0.951542714,0.015988716,4.346117445,0.022864901,0,8E-05,0,6E-05,-29.19024,9.29712,25.79154,7.93366,-3.39868,3.20094,0,0,-22.02412,9.01556,-1.49132,0.22684,27.28284,8.0693,0,8E-05,0,6E-05,-12.67218,3.73508,4.95374,1.74244,-7.71838,2.8577,0,0,-5.50604,2.2539,-1.49132,0.22684,6.44504,1.87174,6105,PRADEEP,-7.16612
3vq9,0.117023425,0.001861129,2.235499863,0.008564099,0,0,0,4E-05,-15.48354,9.05338,11.04318,6.56166,-4.44032,3.4014,0,0,-7.93338,6.46288,-1.1585,0.4038,12.20166,6.84918,0,0,0,4E-05,-9.5335,4.80874,1.78396,1.3623,-7.74954,3.8786,0,0,-1.98334,1.6157,-1.1585,0.4038,2.94244,1.63066,8305,ARIHANT,-7.55014
2hdq,0.11679431,0.001825954,1.267857038,0.004071637,0,4E-05,0,4E-05,-22.49642,8.37086,20.03568,8.07262,-2.46076,2.41348,0,0,-14.62396,7.52684,-1.26442,0.27264,21.30012,8.26026,0,4E-05,0,4E-05,-11.52842,3.6511,3.74264,1.71256,-7.78582,2.74272,0,0,-3.65598,1.8817,-1.26442,0.27264,5.00706,1.89234,1940,DIVYAK,-7.87248
5a1t,0.330406116,0.015197054,1.620689976,0.006228421,0,8E-05,0,0,-38.43842,4.89258,36.66968,4.46342,-1.76874,4.52068,0,0,-30.68884,5.82124,-1.38742,0.05626,38.05712,4.46462,0,8E-05,0,0,-15.42182,1.96676,7.5452,1.03188,-7.87658,2.0341,0,0,-7.67224,1.45532,-1.38742,0.05626,8.93262,1.0336,1884,PRADEEP,-7.74958
4wvc,0.848379078,0.006918148,1.320140476,0.004476322,0,6E-05,0,4E-05,-70.83194,5.88994,70.03784,5.6536,-0.7941,4.79312,0,0,-64.22056,7.36352,-1.5553,0.04204,71.59316,5.65998,0,6E-05,0,4E-05,-22.66646,2.47288,14.70478,1.2752,-7.96168,2.40506,0,0,-16.05516,1.84088,-1.5553,0.04204,16.26012,1.28126,3486,SHRUTI,-6.6113
2vvq,1.607125141,0.017367141,2.30343874,0.023598739,0,6E-05,0,0,-79.72666,19.1071,65.93928,15.02294,-13.7874,6.34578,0,0,-76.69352,19.70736,-1.62832,0.21272,67.56758,15.18244,0,6E-05,0,0,-22.20652,5.5957,14.2231,3.39902,-7.98342,3.36584,0,0,-19.17338,4.92684,-1.62832,0.21272,15.85142,3.55776,7436,ROHIT,-3.03314
5a9a,2.57727956,0.019902934,3.839249513,0.0311677,0,6E-05,0,4E-05,-40.76316,11.3614,37.79338,10.76208,-2.96976,3.14276,0,0,-33.23992,11.68766,-1.48204,0.24394,39.2754,10.91118,0,6E-05,0,4E-05,-15.83318,3.60104,7.84698,2.42234,-7.98622,2.62086,0,0,-8.30996,2.92192,-1.48204,0.24394,9.32898,2.56666,3439,ROHIT,-7.5232
2ay8,1.236376593,0.018674891,2.613116072,0.024472471,0,2E-05,0,6E-05,-18.98816,8.52664,15.65084,7.4136,-3.3373,2.8612,0,0,-11.16224,7.08002,-1.4445,0.42226,17.09532,7.69472,0,2E-05,0,6E-05,-10.61642,4.4031,2.6079,1.5323,-8.00856,3.62346,0,0,-2.79056,1.77,-1.4445,0.42226,4.0524,1.79826,1591,SHRUTI,-7.82588
1yb7,0.394542193,0.017599335,1.417309771,0.004076079,0,2E-05,0,2E-05,-14.50716,3.961,10.8802,3.92668,-3.62696,2.34384,0,0,-6.45786,3.8693,-1.24412,0.1555,12.1243,4.00282,0,2E-05,0,2E-05,-9.66376,1.83444,1.64832,0.86906,-8.01544,1.70128,0,0,-1.61448,0.96732,-1.24412,0.1555,2.89244,0.93874,7072,PRADEEP,-8.04928
6qkt,0.381597082,0.010630975,1.289222767,0.004781237,0,2E-05,0,2E-05,-59.06002,4.98582,45.20182,3.98144,-13.85822,3.20722,0,0,-55.05194,5.7056,-1.14162,0.0321,46.34344,3.99284,0,2E-05,0,2E-05,-17.77106,2.5643,9.69896,0.89578,-8.07212,2.2584,0,0,-13.763,1.4264,-1.14162,0.0321,10.8406,0.90794,6045,SARVESH,-4.0081
5ekx,0.101685496,0.001597771,1.390499434,0.005251991,0,4E-05,0,4E-05,-16.43512,5.86184,11.13986,4.27244,-5.29528,2.8968,0,0,-8.71654,4.76424,-1.1933,0.24332,12.33312,4.40202,0,4E-05,0,4E-05,-9.89774,2.97382,1.78304,0.91148,-8.1147,2.5822,0,0,-2.17912,1.19106,-1.1933,0.24332,2.9763,1.02106,4166,SHRUTI,-7.71858
5y8p,0.699062167,0.019421256,2.29745411,0.026601465,0,4E-05,0,8E-05,-38.73104,8.31372,36.11328,7.69666,-2.61772,3.11114,0,0,-30.9984,9.40294,-1.50784,0.07292,37.62114,7.68786,0,4E-05,0,8E-05,-15.48224,2.39804,7.34252,1.77794,-8.1397,2.02104,0,0,-7.7496,2.35072,-1.50784,0.07292,8.85036,1.76928,1925,DIVYAK,-7.73264
6h09,2.384038817,0.005417039,3.34434473,0.029167413,0,4E-05,0,4E-05,-39.66476,8.63884,38.99718,7.91082,-0.6676,3.2374,0,0,-31.506,8.67688,-1.83432,0.29496,40.83148,8.0727,0,4E-05,0,4E-05,-16.03526,3.74152,7.81994,1.73694,-8.2153,3.17166,0,0,-7.87648,2.16922,-1.83432,0.29496,9.65424,1.8841,4237,PRADEEP,-8.15876
5y8o,0.930450801,0.013951001,1.948292242,0.020219962,0,4E-05,0,6E-05,-28.28042,5.22802,27.87622,5.0617,-0.40422,3.40372,0,0,-19.40496,5.72384,-1.59548,0.06416,29.4717,5.04758,0,4E-05,0,6E-05,-13.72672,2.08848,5.42272,1.15714,-8.304,1.8527,0,0,-4.85124,1.43096,-1.59548,0.06416,7.0182,1.14334,6361,SHRUTI,-8.8755
6ihe,0.784608767,0.012331634,1.664203843,0.005984924,0,2E-05,0,2E-05,-79.86388,8.00802,73.8907,7.26678,-5.97316,4.25066,0,0,-73.81194,9.06398,-1.79552,0.0639,75.68622,7.26196,0,2E-05,0,2E-05,-24.50494,3.06172,16.11426,1.709,-8.39072,2.776,0,0,-18.453,2.26602,-1.79552,0.0639,17.90972,1.7046,4175,PRADEEP,-6.05196
2v2h,1.125580327,0.009896603,1.559698238,0.005622065,0,6E-05,0,2E-05,-58.77586,12.41926,52.62184,10.8195,-6.15402,3.99626,0,0,-52.24042,12.89468,-1.5804,0.20874,54.20222,10.9526,0,6E-05,0,2E-05,-19.59554,4.13454,11.1712,2.41904,-8.42436,2.87212,0,0,-13.06012,3.2237,-1.5804,0.20874,12.7516,2.55102,5034,PRADEEP,-6.53544
1p4v,0.479179619,0.013820343,1.514031067,0.004381752,0,4E-05,0,6E-05,-106.6871,11.95406,93.66394,11.25546,-13.02316,6.58822,0,0,-103.04222,12.57244,-1.31026,0.0585,94.97424,11.25978,0,4E-05,0,6E-05,-29.40546,3.62782,20.98046,2.53326,-8.425,2.76696,0,0,-25.76056,3.14312,-1.31026,0.0585,22.29074,2.53722,4192,PRADEEP,-3.64488
5y8k,0.815690537,0.013483774,2.675175163,0.027208546,0,4E-05,0,2E-05,-57.9141,18.85198,45.2126,16.72376,-12.7015,5.32338,0,0,-53.95206,19.6248,-1.50448,0.07844,46.71706,16.74798,0,4E-05,0,2E-05,-17.45002,4.9465,9.01154,3.76424,-8.4385,2.69014,0,0,-13.48802,4.90618,-1.50448,0.07844,10.51604,3.78862,5266,SARVESH,-3.96204
1uxg,0.849138351,0.00289146,1.645183053,0.009972267,0,6E-05,0,4E-05,-45.77906,5.40824,45.20274,5.57106,-0.5763,3.74058,0,0,-37.75756,6.81754,-1.70458,0.06276,46.90732,5.58022,0,6E-05,0,4E-05,-17.4609,2.21722,9.01588,1.25214,-8.445,2.16136,0,0,-9.43938,1.70438,-1.70458,0.06276,10.72048,1.25852,4316,SARVESH,-8.02146
1hfb,0.870917541,0.027031894,2.408534812,0.017172474,0,0,0,6E-05,-9.8479,3.36288,5.19934,1.70534,-4.64858,3.01836,0,0,0,0,0.11856,0.33764,5.0808,1.90642,0,0,0,6E-05,-9.8479,3.36288,1.40064,0.34984,-8.44726,3.40904,0,0,0,0,0.11856,0.33764,1.28214,0.46972,6495,SHRUTI,-9.84792
1qmh,0.647994707,0.017297096,1.623466976,0.008211571,0,4E-05,0,6E-05,-46.56796,14.01746,44.19546,12.45408,-2.3725,3.87488,0,0,-38.84664,13.81336,-1.66378,0.2668,45.85924,12.60344,0,4E-05,0,6E-05,-17.433,4.53034,8.98076,2.78864,-8.45224,2.98834,0,0,-9.71164,3.45336,-1.66378,0.2668,10.64452,2.93076,3973,ROHIT,-7.72136
6fk3,0.622593196,0.013359091,3.158547093,0.033595919,0,4E-05,0,6E-05,-49.00864,6.41926,42.76132,5.27002,-6.24734,2.86052,0,0,-42.05314,7.40896,-1.46858,0.04606,44.2299,5.27174,0,4E-05,0,6E-05,-17.46878,2.12926,8.98596,1.25604,-8.48284,1.84908,0,0,-10.51328,1.85224,-1.46858,0.04606,10.45452,1.25762,6410,PRADEEP,-6.9555
3d1f,0.875870816,0.011672903,2.259162853,0.02291456,0,2E-05,0,6E-05,-24.60428,11.09982,19.6944,10.3507,-4.9099,2.68138,0,0,-16.3882,11.26152,-1.31784,0.35146,21.01224,10.49316,0,2E-05,0,6E-05,-12.31314,4.14118,3.82102,2.3856,-8.49208,3.1556,0,0,-4.09706,2.81538,-1.31784,0.35146,5.13888,2.51692,6052,SARVESH,-8.21606
4fju,0.477985401,0.013416828,1.855616615,0.009338635,0,4E-05,0,4E-05,-26.1744,5.4544,25.83726,6.22082,-0.33714,3.65322,0,0,-16.71696,5.6083,-1.26656,0.0586,27.10382,6.23388,0,4E-05,0,4E-05,-13.63672,2.03226,5.1145,1.4255,-8.52218,1.6876,0,0,-4.17924,1.40208,-1.26656,0.0586,6.38102,1.43914,5759,ROHIT,-9.45746
6qi1,0.380959049,0.013406782,1.327253923,0.005572061,0,4E-05,0,4E-05,-38.12544,5.86902,32.23884,5.57274,-5.8866,3.66054,0,0,-30.52346,6.97214,-1.18846,0.04028,33.42734,5.58084,0,4E-05,0,4E-05,-15.23286,1.87932,6.6771,1.28058,-8.55574,1.84406,0,0,-7.63086,1.74304,-1.18846,0.04028,7.86556,1.28888,6683,PRADEEP,-7.60198
4zag,0.841322477,0.021800794,2.265727907,0.014999819,0,4E-05,0,4E-05,-23.6612,8.22758,19.334,6.96868,-4.32722,2.93054,0,0,-15.66754,7.60618,-1.685,0.31522,21.01904,7.1647,0,4E-05,0,4E-05,-11.91056,3.79874,3.29338,1.507,-8.6172,3.19568,0,0,-3.9169,1.90156,-1.685,0.31522,4.97838,1.68594,5371,ROHIT,-7.99368
4mv7,1.206196971,0.005940381,3.535344208,0.03509108,0,4E-05,0,4E-05,-61.68054,6.70012,46.72332,5.54596,-14.95724,3.15354,0,0,-57.46674,8.18368,-1.37658,0.04094,48.09988,5.55178,0,4E-05,0,4E-05,-18.58048,2.8507,9.91254,1.28748,-8.66792,2.70948,0,0,-14.36668,2.04592,-1.37658,0.04094,11.28914,1.29296,1856,SARVESH,-4.21378
1yki,0.74596123,0.017476194,3.62681426,0.033003481,0,6E-05,0,0,-16.9983,7.25666,12.069,5.53272,-4.9293,3.09834,0,0,-8.58022,6.57914,-1.33422,0.29866,13.40326,5.68518,0,6E-05,0,0,-10.56318,3.44934,1.88652,1.19994,-8.67662,3.01642,0,0,-2.14506,1.64478,-1.33422,0.29866,3.22076,1.33626,1332,DIVYAK,-8.4181
1iyd,1.057797334,0.009172497,1.682605785,0.00661821,0,4E-05,0,2E-05,-71.27866,8.05666,72.44552,7.41832,1.1668,5.34916,0,0,-62.585,9.07586,-2.03562,0.07158,74.48112,7.40318,0,4E-05,0,2E-05,-24.33992,3.09238,15.6155,1.6845,-8.72444,2.82156,0,0,-15.64626,2.26898,-2.03562,0.07158,17.6511,1.67028,6167,ROHIT,-8.69368
5dyu,0.457881357,0.014475939,3.28096376,0.037798412,0,4E-05,0,2E-05,-21.10374,4.64762,15.4215,4.12356,-5.68226,2.2662,0,0,-12.95166,4.8442,-1.30666,0.11946,16.72816,4.17468,0,4E-05,0,2E-05,-11.39004,2.11496,2.65516,0.93596,-8.73484,1.94388,0,0,-3.23792,1.21108,-1.30666,0.11946,3.96178,0.98396,4699,SHRUTI,-8.15208
2x0k,1.336998398,0.01248364,1.856940262,0.011011084,0,6E-05,0,4E-05,-50.91348,6.32566,45.35262,5.76416,-5.56088,3.63654,0,0,-43.81142,7.54884,-1.73254,0.08458,47.08514,5.77216,0,6E-05,0,4E-05,-18.05494,2.54302,9.1428,1.35128,-8.91212,2.38618,0,0,-10.95284,1.8872,-1.73254,0.08458,10.87536,1.35744,2347,VASAVI,-7.10208
1ufy,0.869927509,0.014527598,1.892473109,0.010246042,0,8E-05,0,2E-05,-193.74922,29.18812,161.4101,22.682,-32.33912,8.80538,0,0,-197.80108,30.08086,-1.2919,0.06994,162.70204,22.7035,0,8E-05,0,2E-05,-45.39842,7.29132,36.4476,5.15724,-8.95082,3.49818,0,0,-49.45024,7.52022,-1.2919,0.06994,37.73948,5.1781,1805,DIVYAK,4.05186
1j2g,0.120747539,0.001304803,2.417360587,0.01478432,0,6E-05,0,4E-05,-31.9405,9.71118,26.01652,6.69008,-5.92394,4.27282,0,0,-23.79724,8.2706,-1.44748,0.26176,27.46402,6.88126,0,6E-05,0,4E-05,-14.09256,4.3171,5.12326,1.44406,-8.9693,3.33082,0,0,-5.94932,2.06762,-1.44748,0.26176,6.57078,1.63044,7780,DIVYAK,-8.14324
6ppx,1.426576707,0.003758994,3.668541144,0.036905328,0,6E-05,0,2E-05,-76.22232,7.65286,68.20492,7.41626,-8.01738,3.56624,0,0,-70.34716,9.30772,-1.74452,0.06316,69.94946,7.45378,0,6E-05,0,2E-05,-23.46192,2.81514,14.49232,1.71748,-8.9696,2.73512,0,0,-17.5868,2.32696,-1.74452,0.06316,16.23682,1.75468,6007,PRADEEP,-5.87512
1egh,0.94289152,0.014016948,2.322797796,0.018149188,0,8E-05,0,4E-05,-65.29348,10.79474,60.78542,10.13426,-4.50804,4.3384,0,0,-57.8434,12.45732,-1.79208,0.05886,62.57752,10.12286,0,8E-05,0,4E-05,-21.91092,3.29828,12.92676,2.37856,-8.98416,2.97372,0,0,-14.46084,3.11434,-1.79208,0.05886,14.71886,2.36724,2577,DIVYAK,-7.45008
4cjt,0.093929104,0.001501859,2.182505383,0.015193563,0,4E-05,0,4E-05,-17.01078,6.2964,11.81912,5.17328,-5.19164,2.5776,0,0,-8.1921,5.24412,-1.34294,0.21962,13.16204,5.30518,0,4E-05,0,4E-05,-10.8667,3.0022,1.79304,1.12896,-9.07366,2.4524,0,0,-2.04802,1.31104,-1.34294,0.21962,3.13592,1.24878,6073,ROHIT,-8.8187
2cun,1.447940713,0.011169195,1.718753809,0.010494211,0,6E-05,0,6E-05,-62.13268,7.55566,54.278,7.28662,-7.85472,3.51224,0,0,-55.73118,8.43258,-1.87622,0.127,56.15418,7.32498,0,6E-05,0,6E-05,-20.33434,2.76244,11.2275,1.68146,-9.10684,2.46732,0,0,-13.9328,2.10816,-1.87622,0.127,13.10368,1.71592,4141,SARVESH,-6.40156
1jbu,0.649791476,0.025738877,1.885607586,0.007822123,0,6E-05,0,6E-05,-18.93174,8.08086,12.92276,6.1797,-6.00894,3.39258,0,0,-10.45206,7.02886,-1.4582,0.2827,14.38096,6.36914,0,6E-05,0,6E-05,-11.09268,3.67412,1.97554,1.33266,-9.11712,3.03686,0,0,-2.61302,1.75722,-1.4582,0.2827,3.43378,1.51102,2874,SARVESH,-8.47964
1m9n,1.354209774,0.014024088,2.861978786,0.030342155,0,2E-05,0,8E-05,-47.73192,10.52912,44.31454,9.6118,-3.41738,3.12096,0,0,-39.20002,11.34786,-1.81362,0.2448,46.12818,9.70272,0,2E-05,0,8E-05,-18.3319,3.6725,9.1981,2.19396,-9.1338,2.94062,0,0,-9.8,2.83694,-1.81362,0.2448,11.01172,2.279,5753,ROHIT,-8.53192
5y8i,0.802243506,0.014082213,2.288900994,0.024853095,0,4E-05,0,2E-05,-30.21884,7.48174,27.60498,6.79726,-2.61388,3.11438,0,0,-20.85782,6.87932,-1.65858,0.17552,29.26356,6.8917,0,4E-05,0,2E-05,-14.57548,3.36448,5.25232,1.50056,-9.32318,2.59618,0,0,-5.21444,1.71984,-1.65858,0.17552,6.91092,1.59152,7768,DIVYAK,-9.36102
1obl,0.817392861,0.021151226,1.273306264,0.004447467,0,4E-05,0,4E-05,-51.14894,7.77882,46.03008,7.74966,-5.11886,4.03954,0,0,-43.20276,8.60344,-1.50932,0.05968,47.53936,7.74606,0,4E-05,0,4E-05,-18.74686,2.64238,9.41252,1.7974,-9.33432,2.39016,0,0,-10.80066,2.15088,-1.50932,0.05968,10.92184,1.79266,2951,SHRUTI,-7.94616
3r7f,0.603352888,0.019121703,1.90169885,0.007598865,0,6E-05,0,0,-69.94236,11.53008,65.1861,11.20404,-4.75626,4.1731,0,0,-62.24064,11.90332,-1.6617,0.07748,66.84778,11.22058,0,6E-05,0,0,-23.26188,3.87396,13.84012,2.56416,-9.42176,2.67322,0,0,-15.56016,2.97582,-1.6617,0.07748,15.50182,2.57998,2114,SARVESH,-7.7017
5jib,0.614024051,0.017511403,1.442244977,0.004247396,0,6E-05,0,2E-05,-28.22744,7.7486,23.37398,6.86866,-4.85344,3.06376,0,0,-19.19672,7.31924,-1.53396,0.30114,24.9079,7.054,0,6E-05,0,2E-05,-13.82988,3.89006,4.3494,1.48608,-9.4805,3.32916,0,0,-4.79916,1.82982,-1.53396,0.30114,5.88334,1.663,4975,PRADEEP,-9.03072
3r1k,0.04250787,0.000904749,4.108767821,0.034446733,0,4E-05,0,2E-05,-30.65462,7.73104,25.27174,6.74548,-5.3829,3.13382,0,0,-21.20918,8.38176,-1.27598,0.04406,26.5477,6.74924,0,4E-05,0,2E-05,-14.74774,2.13636,5.1742,1.5195,-9.57356,1.65046,0,0,-5.3023,2.09544,-1.27598,0.04406,6.45018,1.52404,4817,SARVESH,-9.44548
4rl4,1.391770303,0.013207606,2.393912603,0.02128032,0,6E-05,0,6E-05,-64.68834,9.91314,66.25886,9.38102,1.57052,5.79368,0,0,-54.34034,10.437,-1.7935,0.0635,68.05238,9.38864,0,6E-05,0,6E-05,-23.93308,3.27928,14.3562,2.15368,-9.57688,2.46698,0,0,-13.5851,2.60926,-1.7935,0.0635,16.14974,2.16128,5303,SHRUTI,-10.34802
1s89,0.854607777,0.004357411,2.241315176,0.021201623,0,4E-05,0,4E-05,-74.59164,6.01488,67.34428,5.91996,-7.24736,3.29654,0,0,-67.32684,7.89484,-1.68526,0.05098,69.02952,5.92054,0,4E-05,0,4E-05,-24.09648,2.511,14.45688,1.39798,-9.63962,2.6437,0,0,-16.8317,1.97372,-1.68526,0.05098,16.14212,1.39896,8235,SARVESH,-7.26478
3oob,1.280348405,0.021193023,3.271754497,0.011059976,0,2E-05,0,6E-05,-28.26498,12.35346,25.46738,10.52842,-2.79762,3.62756,0,0,-18.25114,10.93096,-1.7085,0.47524,27.17588,10.88038,0,2E-05,0,6E-05,-14.57666,5.72198,4.7701,2.22856,-9.80658,4.73628,0,0,-4.56278,2.73272,-1.7085,0.47524,6.47858,2.57004,5770,SARVESH,-10.01386
1jhy,0.507552443,0.010414949,1.721214971,0.008888402,0,6E-05,0,4E-05,-23.94562,5.37308,29.99666,7.04312,6.05102,6.23708,0,0,-10.85576,5.70946,-1.8343,0.06504,31.83096,7.06178,0,6E-05,0,4E-05,-15.80382,2.6105,5.95724,1.53874,-9.84658,2.52638,0,0,-2.71394,1.42738,-1.8343,0.06504,7.79154,1.55692,8547,PRADEEP,-13.08988
4j0i,0.337779784,0.013488138,1.989461991,0.013918322,0,2E-05,0,0,-56.68334,13.95468,49.15818,10.89276,-7.52516,5.42136,0,0,-48.81032,15.33296,-1.80272,0.1268,50.96092,10.97564,0,2E-05,0,0,-20.07558,3.67814,10.2128,2.46812,-9.86278,2.91326,0,0,-12.20256,3.83324,-1.80272,0.1268,12.01552,2.55018,4326,SARVESH,-7.87298
1gyx,0.604840951,0.024138209,1.615658255,0.00641667,0,0.0001,0,6E-05,-22.82282,5.99988,16.96492,5.60566,-5.8579,2.40316,0,0,-13.41634,5.59486,-1.33636,0.128,18.30128,5.66862,0,0.0001,0,6E-05,-12.76058,2.53442,2.89084,1.26012,-9.86976,1.94776,0,0,-3.35408,1.39872,-1.33636,0.128,4.22718,1.3189,2339,VASAVI,-9.4065
1sc3,0.555042183,0.016339411,2.861184739,0.02335053,0,6E-05,0,4E-05,-238.1176,22.80686,210.70596,17.65212,-27.41164,8.45546,0,0,-239.33352,23.31952,-1.38844,0.0573,212.0944,17.65764,0,6E-05,0,4E-05,-58.61748,6.13686,48.73376,3.95208,-9.8837,3.5447,0,0,-59.83338,5.82988,-1.38844,0.0573,50.1222,3.95662,1581,PRADEEP,1.21594
3cmc,1.530388769,0.012835093,1.887089717,0.01134314,0,2E-05,0,2E-05,-43.29838,8.87102,42.9864,8.2118,-0.31198,4.07728,0,0,-33.01284,9.33296,-1.8884,0.13266,44.87484,8.2738,0,2E-05,0,2E-05,-18.53876,3.25754,8.63796,1.85232,-9.90082,2.57016,0,0,-8.2532,2.33322,-1.8884,0.13266,10.52638,1.91254,1308,PRADEEP,-10.28556
6b68,2.291141451,0.020297526,1.19159071,0.003789547,0,6E-05,0,6E-05,-58.21528,19.1646,47.05334,15.72448,-11.16196,4.6834,0,0,-51.2473,20.22888,-1.73764,0.32226,48.79098,15.82626,0,6E-05,0,6E-05,-19.77982,5.36376,9.85702,3.60018,-9.9228,3.35588,0,0,-12.81184,5.05722,-1.73764,0.32226,11.59468,3.69458,3352,SARVESH,-6.968
